Code Class,Name,Accession,20180209_USDA 45 020918_1 B cell _07.RCC,20180209_USDA 45 020918_1 CD4+ CD8+_03.RCC,20180209_USDA 45 020918_1 CD4+ CD8-_04.RCC,20180209_USDA 45 020918_1 CD4- CD8+_05.RCC,20180209_USDA 45 020918_1 Gd T cell_01.RCC,20180209_USDA 45 020918_1 Monocyte_02.RCC,20180209_USDA 45 020918_1 NK cell_06.RCC,20180209_USDA 45 020918_2 CD4+ CD8+_10.RCC,20180209_USDA 45 020918_2 CD4+ CD8-_12.RCC,20180209_USDA 45 020918_2 CD4- CD8+_11.RCC,20180209_USDA 45 020918_2 Gd T cell_08.RCC,20180209_USDA 45 020918_2 Monocyte_09.RCC,20180209_USDA 46 020918_1 PBMC_10.RCC,20180209_USDA 46 020918_2 B cell _02.RCC,20180209_USDA 46 020918_2 NK cell_01.RCC,20180209_USDA 46 020918_2 PBMC_11.RCC,20180209_USDA 46 020918_3 B cell _09.RCC,20180209_USDA 46 020918_3 CD4+ CD8+_05.RCC,20180209_USDA 46 020918_3 CD4+ CD8-_06.RCC,20180209_USDA 46 020918_3 CD4- CD8+_07.RCC,20180209_USDA 46 020918_3 Gd T cell_03.RCC,20180209_USDA 46 020918_3 Monocyte_04.RCC,20180209_USDA 46 020918_3 NK cell_08.RCC,20180209_USDA 46 020918_3 PBMC_12.RCC
Endogenous,FOS,FOS,34,14,17,73,12,523,29,38,38,14,71,606,36,95,60,155,36,29,72,30,66,595,91,26
Endogenous,GBP5,GBP5,28,98,58,106,48,11,88,98,79,36,85,21,53,38,118,23,32,81,57,73,72,22,186,35
Endogenous,GRAP2,GRAP2,16,118,178,362,290,8,78,199,203,183,369,18,162,50,109,73,36,142,180,230,281,31,85,86
Endogenous,GSK3B,GSK3B,60,119,108,252,119,79,167,100,114,96,154,102,110,79,120,77,75,113,135,98,132,83,173,83
Endogenous,GZMB,GZMB,13,401,40,687,14,13,1047,146,49,226,127,16,174,56,1187,54,27,68,111,174,93,65,552,75
Endogenous,HIF1A,HIF1A,141,191,280,201,391,196,103,249,213,129,505,176,221,202,152,197,116,268,225,129,362,137,131,135
Endogenous,HIF1AN,HIF1AN,19,40,46,95,57,22,105,54,49,36,71,27,48,38,73,27,13,44,57,31,75,24,85,26
Endogenous,HIF3A,HIF3A,1,2,3,22,1,4,17,17,18,3,31,3,12,3,31,1,4,1,24,20,20,4,23,2
Endogenous,HMGA1,HMGA1,43,44,49,73,42,5,32,61,64,43,85,11,71,57,75,39,73,72,75,84,90,29,85,84
Endogenous,HMGB1,HMGB1,205,270,202,259,218,170,321,232,166,185,191,149,199,196,268,167,179,240,240,180,201,163,278,222
Endogenous,HMOX2,HMOX2,49,129,156,285,99,25,203,165,161,135,156,30,134,66,161,72,59,124,183,163,149,37,193,93
Endogenous,HPSE,HPSE,5,16,59,153,8,43,37,90,146,109,82,24,56,38,34,63,16,80,108,134,76,46,33,51
Endogenous,HSPA5,HSPA5,470,350,221,486,352,333,409,310,201,311,373,289,292,382,364,291,374,308,192,286,326,369,395,321
Endogenous,IFIH1,IFIH1,14,45,45,113,32,39,71,75,46,38,31,77,45,31,56,44,13,36,39,37,50,25,65,23
Endogenous,IFIT1,IFIT1,325,64,64,142,48,467,115,128,78,73,87,1112,151,202,84,333,54,83,87,91,76,232,134,49
Endogenous,IFIT2,IFIT2,4,15,16,66,6,305,34,42,19,23,47,639,67,40,29,176,2,29,36,35,63,150,42,14
Endogenous,IFIT3,IFIT3,15,67,29,117,25,269,54,79,51,46,68,578,70,50,43,198,23,59,48,51,68,139,65,24
Endogenous,IFITM1,IFITM1,2,13,21,44,5,5,32,33,37,6,47,16,14,35,43,2,9,10,36,39,30,15,23,6
Endogenous,IFNA,IFNA,25,98,188,530,55,36,348,347,350,154,586,89,313,371,354,32,72,197,432,334,710,213,438,98
Endogenous,IFNB,IFNB,2,5,21,51,12,2,20,27,28,16,33,8,19,29,24,4,9,18,21,27,42,15,59,6
Endogenous,IFNG,IFNG,4,43,3,44,4,2,76,42,12,31,26,4,18,13,106,9,4,10,27,18,24,11,78,9
Endogenous,IFNGR1,IFNGR1,39,54,41,80,33,373,61,77,61,37,76,347,122,79,79,137,48,45,63,49,72,238,75,49
Endogenous,IGSF6,IGSF6,5,6,19,51,7,258,29,38,34,9,87,263,53,46,43,88,4,17,51,42,63,187,69,15
Endogenous,IKBKB,IKBKB,7,18,16,37,21,29,10,15,14,15,35,24,18,19,27,12,13,21,48,11,32,28,36,17
Endogenous,IKBKE,IKBKE,24,81,81,106,73,24,39,71,96,61,59,17,66,44,68,36,41,100,138,78,99,15,85,37
Endogenous,IL10,IL10,3,1,1,15,1,3,2,10,2,3,7,10,4,1,3,4,4,6,12,8,2,2,3,2
Endogenous,IL12A,IL12A,5,7,16,29,2,4,25,29,22,11,49,5,25,21,29,3,5,23,30,18,43,8,29,5
Endogenous,IL12B,IL12B,3,2,2,7,7,3,10,13,4,5,10,7,26,6,12,5,20,18,54,21,7,10,39,13
Endogenous,IL1A,IL1A,2,5,7,47,2,1,25,27,14,6,31,8,21,32,34,12,23,18,90,21,37,18,56,16
Endogenous,IL1B,IL1B,8,36,54,219,18,111,113,134,98,58,262,107,122,126,181,37,38,81,189,144,249,109,196,35
Endogenous,IL1RAP,IL1RAP,7,14,19,37,5,52,27,38,27,14,35,57,32,22,32,20,7,24,45,27,28,31,46,9
Endogenous,IL7R,IL7R,17,315,485,318,305,4,61,397,450,249,271,1,158,11,24,84,5,424,360,303,246,3,33,93
Endogenous,IL8,IL8,2,4,3,11,5,2,10,8,12,4,17,3,8,9,5,2,2,5,6,8,19,1,26,3
Endogenous,IRAK2,IRAK2,6,31,8,40,15,8,64,36,11,13,26,7,14,13,73,8,11,17,24,23,24,3,82,8
Endogenous,IRF1,IRF1,105,254,151,321,228,116,279,297,203,238,317,288,159,166,482,191,88,172,171,106,186,180,261,94
Endogenous,IRF5,IRF5,89,26,25,29,37,230,47,56,21,32,69,399,140,136,85,156,202,66,108,58,74,383,154,125
Endogenous,IRF8,IRF8,117,14,3,33,6,86,29,19,2,9,7,121,97,176,48,129,174,10,15,13,6,80,46,100
Endogenous,ISG20,ISG20,2,2,2,4,1,3,2,2,1,1,2,2,1,1,2,1,2,2,3,1,1,2,3,2
Endogenous,ITGAM,ITGAM,33,20,36,135,7,50,508,50,67,68,130,49,71,77,746,39,41,39,84,103,112,84,902,66
Endogenous,ITGAX,ITGAX,25,12,11,44,18,289,39,33,31,8,62,326,112,47,44,115,25,17,30,29,52,236,36,70
Endogenous,ITGB2,ITGB2,197,789,349,760,260,776,941,653,240,392,300,850,478,242,888,492,286,491,339,476,284,662,1218,341
Endogenous,ITK,ITK,15,289,321,457,200,4,172,289,256,223,206,3,149,12,133,61,11,303,276,217,235,11,183,71
Endogenous,ITPR3,ITPR3,37,66,86,88,112,8,61,73,79,56,76,12,67,66,114,28,41,68,111,73,90,27,163,46
Endogenous,JAK2,JAK2,29,45,41,40,39,99,44,27,21,35,47,173,62,42,46,77,23,35,12,25,31,72,39,32
Endogenous,JAK3,JAK3,53,156,161,216,148,114,120,151,108,129,156,126,110,63,128,84,77,147,165,163,171,76,127,88
Endogenous,KIF23,KIF23,8,9,13,55,4,4,25,46,26,9,38,5,27,27,27,7,21,18,69,42,44,21,56,12
Endogenous,KRAS,KRAS,48,80,52,66,60,55,96,96,49,73,38,57,66,50,84,49,54,62,57,60,42,38,85,60
Endogenous,LAT,LAT,8,71,90,102,80,6,39,113,119,57,151,8,69,27,63,20,2,83,132,89,142,18,52,36
Endogenous,LAT2,LAT2,40,9,7,7,27,112,113,2,2,22,42,114,45,36,109,52,43,5,3,12,20,84,88,32
Endogenous,LCK,LCK,35,701,489,650,26,13,623,667,554,581,99,14,271,52,630,163,20,617,564,605,59,56,689,205
Endogenous,LCP2,LCP2,216,897,818,1264,877,560,1214,786,480,697,720,558,507,129,1235,398,188,875,693,630,708,466,1261,356
Endogenous,LY96,LY96,76,106,53,99,62,370,91,109,44,64,62,352,97,58,58,137,73,102,45,61,46,238,42,74
Endogenous,LYN,LYN,187,17,25,62,15,465,64,29,40,21,75,485,243,234,94,275,233,35,69,51,82,324,121,184
Endogenous,LYZ,LYZ,52,4,9,33,4,1152,20,19,7,3,9,2651,263,108,15,825,43,10,54,18,15,2338,65,112
Endogenous,MAP2K4,MAP2K4,9,18,21,62,22,6,34,40,38,20,69,11,29,35,26,9,11,33,42,39,69,11,49,14
Endogenous,MAP3K7,MAP3K7,41,83,89,146,85,73,91,123,96,74,118,71,104,101,121,77,48,103,105,91,142,75,140,79
Endogenous,MAPK14,MAPK14,73,91,95,113,126,237,140,82,96,89,111,209,119,77,133,139,70,84,96,78,120,150,170,90
Endogenous,MAPK8,MAPK8,25,40,47,113,33,22,101,52,51,58,55,26,45,50,68,25,21,53,60,55,68,15,91,28
Endogenous,MASP1,MASP1,2,4,4,7,2,1,22,6,4,8,7,7,16,8,12,4,4,9,3,24,24,13,13,7
Endogenous,MBL1,MBL1,5,13,14,47,2,1,22,38,25,16,47,8,25,31,17,5,9,16,33,38,68,16,46,8
Endogenous,MCL1,MCL1,342,543,620,559,337,569,277,567,521,360,439,789,417,390,285,462,337,574,525,303,270,425,330,324
Endogenous,MCM2,MCM2,24,19,23,44,9,4,20,44,27,17,45,5,33,39,36,16,20,45,45,50,47,22,72,47
Endogenous,MCM3,MCM3,31,30,28,66,11,9,12,71,33,25,54,14,48,45,51,30,32,52,78,58,48,31,75,78
Endogenous,MIF,MIF,285,317,276,384,348,202,226,358,274,268,399,232,318,276,243,284,392,415,399,367,445,330,402,347
Endogenous,MR1,MR1,8,2,1,22,5,24,12,4,3,3,5,23,10,17,15,18,2,3,9,4,1,15,7,7
Endogenous,MSRB1,MSRB1,41,74,70,91,64,277,56,75,102,50,140,254,114,96,128,112,38,46,114,126,133,217,105,42
Endogenous,MX1,MX1,49,108,96,88,55,599,64,146,107,70,47,1105,136,99,51,431,39,84,156,62,75,284,49,62
Endogenous,MYC,MYC,24,27,58,99,26,12,10,50,87,46,76,15,90,88,34,56,38,40,66,58,64,24,39,69
Endogenous,MYD88,MYD88,45,75,52,110,55,174,88,86,73,48,111,283,95,93,89,111,63,67,111,69,84,135,105,62
Endogenous,NCF1,NCF1,106,19,23,37,13,197,37,36,13,21,23,141,73,115,29,88,109,31,39,30,25,166,52,52
Endogenous,NCF2,NCF2,25,23,16,44,39,277,12,17,16,19,29,255,67,27,17,91,30,25,12,18,27,216,10,25
Endogenous,NCF4,NCF4,173,11,14,37,5,237,32,27,27,12,40,204,107,195,53,102,204,15,39,37,46,165,39,114
Endogenous,NFKB1,NFKB1,99,66,76,73,112,80,103,86,62,69,184,72,84,136,106,88,75,102,69,67,147,54,72,77
Endogenous,NFKB2,NFKB2,70,72,53,164,104,110,88,96,71,53,161,116,129,138,106,105,111,72,87,70,126,89,91,74
Endogenous,NFKBIA,NFKBIA,86,49,39,80,67,233,74,67,62,45,106,183,99,132,65,90,149,65,60,49,146,312,124,78
Endogenous,NFKBIE,NFKBIE,16,30,36,55,18,24,54,42,33,27,57,31,48,21,53,16,21,27,33,39,40,27,101,19
Endogenous,NLRP3,NLRP3,17,24,41,51,34,197,32,44,45,16,82,211,64,33,17,67,14,36,48,30,61,140,42,21
Endogenous,NLRX1,NLRX1,8,27,25,44,24,32,22,48,40,19,76,20,43,38,53,15,13,29,72,47,93,38,46,23
Endogenous,NOD1,NOD1,7,2,5,18,5,45,10,6,7,5,14,44,19,10,21,18,25,12,27,11,5,20,36,13
Endogenous,NOS3,NOS3,2,11,9,22,5,2,15,19,20,9,33,5,18,14,31,2,5,14,18,18,26,7,33,5
Endogenous,OAS1,OAS1,7,14,16,26,8,47,20,29,34,17,45,167,30,33,41,43,13,28,51,47,46,54,56,12
Endogenous,OSM,OSM,2,4,5,22,5,4,2,13,19,9,26,4,7,21,19,3,9,10,18,17,25,9,26,4
Endogenous,P4HA1,P4HA1,12,11,5,11,2,45,10,23,6,5,17,44,14,19,21,18,9,8,9,8,8,22,16,6
Endogenous,PAK1,PAK1,22,11,26,40,19,160,7,31,28,16,35,180,41,29,27,64,9,10,33,18,47,158,62,13
Endogenous,PARP1,PARP1,69,138,119,164,125,29,135,134,100,72,149,28,123,93,147,75,98,119,147,110,148,56,137,109
Endogenous,PCNA,PCNA,313,310,215,208,206,93,299,385,220,253,269,113,311,332,285,253,292,300,321,252,205,191,399,478
Endogenous,PGF,PGF,4,10,19,51,9,2,42,23,31,7,85,8,33,31,46,3,5,12,45,43,64,21,29,6
Endogenous,PIK3AP1,PIK3AP1,331,11,25,248,1122,258,260,42,44,120,1174,268,345,337,296,282,333,17,60,130,1168,190,248,289
Endogenous,PIK3C2B,PIK3C2B,92,45,30,47,243,24,25,59,51,17,238,17,114,93,27,61,97,88,84,49,300,20,36,108
Endogenous,PIK3CG,PIK3CG,53,169,85,248,87,126,267,121,72,116,158,106,115,77,348,101,43,91,117,123,138,111,333,77
Endogenous,PKMYT1,PKMYT1,1,15,16,22,9,1,15,15,23,8,35,7,23,18,19,1,4,20,45,41,48,8,33,7
Endogenous,PLCG1,PLCG1,6,72,49,113,22,4,27,59,72,27,47,3,37,15,17,12,9,38,57,39,54,8,20,15
Endogenous,PLET1,PLET1,8,11,11,47,1,4,20,23,8,9,21,4,19,21,21,8,18,15,48,17,23,13,65,10
Endogenous,PLK4,PLK4,9,16,24,62,9,5,34,59,37,13,52,10,41,46,38,12,11,23,48,39,58,27,46,38
Endogenous,PPM1J,PPM1J,8,7,5,22,2,14,12,19,2,6,17,15,23,10,32,11,30,23,51,26,15,18,52,9
Endogenous,PPP1R14C,PPP1R14C,3,10,20,73,9,4,44,36,37,16,80,15,34,29,46,3,7,24,33,38,68,17,59,12
Endogenous,PPP2R1B,PPP2R1B,70,122,66,150,98,70,125,113,74,82,106,100,93,99,102,78,70,75,105,80,99,73,82,75
Endogenous,PRKCQ,PRKCQ,5,5,1,7,4,2,2,4,2,7,2,3,5,1,3,2,5,3,9,1,4,3,3,3
Endogenous,PSMB8,PSMB8,401,619,376,530,413,344,434,519,360,372,378,345,476,382,383,384,374,469,393,414,391,311,372,354
Endogenous,PSMB9,PSMB9,116,236,103,201,135,103,206,218,104,126,160,159,167,96,171,124,88,143,132,157,139,130,163,115
Endogenous,PSMC5,PSMC5,89,118,90,99,109,97,88,100,77,80,118,110,90,94,97,92,77,87,111,92,117,91,137,88
Endogenous,PSMD2,PSMD2,170,213,187,303,266,209,208,228,165,173,262,186,207,182,210,159,131,201,228,186,261,167,225,165
Endogenous,PSMD8,PSMD8,127,135,105,142,117,129,150,155,87,89,120,140,129,131,125,118,107,142,120,121,104,125,163,126
Endogenous,PSME2,PSME2,288,387,346,438,401,278,385,437,349,374,470,361,337,318,331,306,260,361,348,332,443,326,320,306
Endogenous,PTK2B,PTK2B,62,138,117,252,62,86,203,136,92,83,135,98,154,92,232,88,72,130,123,137,99,102,304,98
Endogenous,PTPRC,PTPRC,942,4051,3253,5227,3081,2179,4599,3384,2879,3039,2761,2301,2246,1055,4204,1941,910,3197,2625,2629,2488,1457,4139,1769
Endogenous,PTTG1,PTTG1,25,22,65,113,145,4,42,42,61,97,180,5,59,32,44,26,13,35,75,103,176,15,29,63
Endogenous,RELB,RELB,18,11,16,22,20,22,27,10,7,13,12,19,22,21,10,17,14,9,12,16,19,20,10,13
Endogenous,RELT,RELT,2,3,3,7,4,13,2,15,4,5,3,21,1,4,7,4,2,3,9,2,4,11,7,2
Endogenous,RHOC,RHOC,3,27,23,55,9,9,34,40,46,28,99,17,45,33,60,11,16,22,36,56,72,42,85,23
Endogenous,RHOH,RHOH,103,96,104,186,178,43,150,136,139,137,203,52,143,142,154,107,143,149,156,146,266,61,173,144
Endogenous,RHOU,RHOU,4,5,6,11,1,4,7,13,10,3,12,2,14,7,22,4,9,6,18,6,9,4,20,5
Endogenous,RIPK1,RIPK1,72,147,129,267,178,139,154,140,110,111,203,117,111,84,137,100,59,150,138,125,172,104,167,91
Endogenous,RRAS,RRAS,5,11,9,26,9,7,15,13,14,8,21,10,22,9,12,8,9,13,36,21,20,11,39,9
Endogenous,S100A8,S100A8,2,1,5,33,6,175,20,6,4,5,10,342,44,21,21,93,20,13,84,21,10,118,49,14
Endogenous,S100B,S100B,20,97,174,131,118,6,127,79,216,125,156,10,97,33,155,57,29,97,225,135,165,19,212,57
Endogenous,SAA4,SAA4,2,5,8,15,4,1,20,17,14,9,50,7,22,11,15,2,4,14,27,14,37,8,26,5
Endogenous,SERPING1,SERPING1,5,5,13,44,2,162,20,13,13,9,21,156,37,17,19,50,4,6,21,20,25,99,49,10
Endogenous,SHC1,SHC1,53,65,77,113,85,99,78,96,59,73,102,86,106,73,96,78,57,111,72,61,85,92,85,72
Endogenous,SOCS3,SOCS3,19,71,96,91,44,61,32,105,114,45,111,72,71,48,55,46,32,90,117,55,85,71,72,33
Endogenous,SOCS6,SOCS6,20,16,22,62,28,42,49,52,45,21,97,36,43,43,56,22,11,32,54,30,88,40,82,17
Endogenous,SOD2,SOD2,59,97,97,150,112,197,103,117,110,100,168,199,104,95,114,110,72,94,87,106,132,119,118,69
Endogenous,SPI1,SPI1,160,10,18,44,9,805,44,27,26,15,47,806,245,200,41,356,236,22,48,29,45,722,39,172
Endogenous,SPINT1,SPINT1,1,5,9,29,5,3,10,17,10,6,23,3,18,7,10,2,21,12,60,26,24,9,26,5
Endogenous,SPN,SPN,16,70,30,106,75,13,113,100,40,80,85,11,59,30,161,28,21,66,51,80,91,24,170,46
Endogenous,ST14,ST14,18,1,2,18,1,24,2,2,3,3,2,24,7,16,3,13,7,5,9,2,3,19,7,9
Endogenous,STAT1,STAT1,352,603,692,942,498,960,576,862,1067,666,786,1814,585,462,647,876,342,695,756,447,476,644,483,437
Endogenous,STAT2,STAT2,156,176,171,212,124,334,186,195,159,101,151,518,315,240,214,304,220,151,135,112,130,210,163,270
Endogenous,STAT3,STAT3,76,212,136,245,148,180,221,121,117,183,125,170,148,96,239,133,64,144,153,140,147,103,261,91
Endogenous,STAT5A,STAT5A,102,172,184,252,159,55,130,180,168,98,198,53,171,138,145,78,131,185,219,159,214,63,176,114
Endogenous,TAB1,TAB1,43,60,70,110,47,44,105,67,73,35,106,48,84,71,82,43,82,79,126,105,130,60,118,52
Endogenous,TAB2,TAB2,93,298,277,281,185,166,230,276,186,145,213,156,184,138,244,135,91,318,261,171,175,141,232,153
