Code Class,Name,Accession,20180209_USDA 45 020918_1 B cell _07.RCC,20180209_USDA 45 020918_1 CD4+ CD8+_03.RCC,20180209_USDA 45 020918_1 CD4+ CD8-_04.RCC,20180209_USDA 45 020918_1 CD4- CD8+_05.RCC,20180209_USDA 45 020918_1 Gd T cell_01.RCC,20180209_USDA 45 020918_1 Monocyte_02.RCC,20180209_USDA 45 020918_1 NK cell_06.RCC,20180209_USDA 45 020918_2 CD4+ CD8+_10.RCC,20180209_USDA 45 020918_2 CD4+ CD8-_12.RCC,20180209_USDA 45 020918_2 CD4- CD8+_11.RCC,20180209_USDA 45 020918_2 Gd T cell_08.RCC,20180209_USDA 45 020918_2 Monocyte_09.RCC,20180209_USDA 46 020918_1 PBMC_10.RCC,20180209_USDA 46 020918_2 B cell _02.RCC,20180209_USDA 46 020918_2 NK cell_01.RCC,20180209_USDA 46 020918_2 PBMC_11.RCC,20180209_USDA 46 020918_3 B cell _09.RCC,20180209_USDA 46 020918_3 CD4+ CD8+_05.RCC,20180209_USDA 46 020918_3 CD4+ CD8-_06.RCC,20180209_USDA 46 020918_3 CD4- CD8+_07.RCC,20180209_USDA 46 020918_3 Gd T cell_03.RCC,20180209_USDA 46 020918_3 Monocyte_04.RCC,20180209_USDA 46 020918_3 NK cell_08.RCC,20180209_USDA 46 020918_3 PBMC_12.RCC
Housekeeping,TOP2B,TOP2B,148,157,303,471,294,152,226,251,329,261,288,155,256,196,272,164,172,239,264,192,291,106,284,196
Housekeeping,YWHAZ,YWHAZ,816,1349,1036,1275,1173,916,1086,1180,903,944,1148,956,1024,911,1148,1022,754,1062,945,878,1076,833,1084,1032
Negative,NEG_A(0),NEG_A,18,10,14,8,5,11,13,13,14,12,11,10,13,8,10,20,9,13,9,10,8,11,10,16
Negative,NEG_B(0),NEG_B,9,7,14,2,9,5,7,4,8,8,7,6,5,3,7,3,4,7,4,6,4,6,7,3
Negative,NEG_C(0),NEG_C,4,4,2,3,2,3,5,5,3,2,3,6,2,2,3,3,5,4,2,6,2,2,1,5
Negative,NEG_D(0),NEG_D,3,7,1,2,4,8,4,3,1,2,7,2,2,2,1,4,3,3,1,3,2,3,2,2
Negative,NEG_E(0),NEG_E,17,12,13,10,7,3,8,19,20,12,9,8,14,8,10,13,11,18,10,17,19,10,9,13
Negative,NEG_F(0),NEG_F,13,19,13,7,16,23,12,12,7,14,16,17,12,7,4,16,6,5,5,8,8,5,15,8
Negative,NEG_G(0),NEG_G,1,2,3,1,3,5,3,2,3,2,4,1,7,1,2,7,5,9,8,11,6,4,5,10
Negative,NEG_H(0),NEG_H,6,7,6,3,3,3,2,7,5,3,2,6,10,7,8,7,10,9,12,19,4,4,12,8
Positive,POS_A(128),POS_A,36767,42124,42218,36625,30124,38996,34540,42377,37482,39258,43247,38059,29250,14578,33276,30431,24913,29900,31559,35891,32791,31824,31768,30512
Positive,POS_B(32),POS_B,10825,12381,12023,10764,9075,11769,10375,11825,11225,11361,12203,10996,7989,3686,8794,8189,6748,8409,8755,9794,8895,8666,8767,7821
Positive,POS_C(8),POS_C,2902,3365,3426,2861,2391,3208,2835,3212,3135,3119,3326,3046,2185,1105,2441,2371,1791,2378,2441,2730,2582,2355,2400,2229
Positive,POS_D(2),POS_D,601,750,732,585,561,684,584,643,646,670,759,637,486,291,526,515,426,448,500,628,534,525,516,522
Positive,POS_E(0.5),POS_E,108,116,133,132,92,128,101,134,118,138,139,120,92,39,106,95,96,91,130,125,102,115,95,88
Positive,POS_F(0.125),POS_F,66,58,69,57,49,60,55,54,54,58,79,51,37,24,47,56,37,48,36,68,60,52,51,49
