Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
CT2-30OCT-1_S1_L001_R1_001	pass	0.0	warn	26.0	Sanger / Illumina 1.9	pass	pass	26.0	Conventional base calls	pass	pass	38937782.0	pass	warn	pass	48.0	52.0047589754	CT2-30OCT-1_S1_L001_R1_001.fastq.gz	warn	pass
CT2-30OCT-1_S1_L001_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	fail	38937782.0	pass	fail	pass	45.0	37.9431292448	CT2-30OCT-1_S1_L001_R2_001.fastq.gz	warn	pass
CT2-30OCT-2_S2_L001_R1_001	pass	0.0	warn	26.0	Sanger / Illumina 1.9	pass	pass	26.0	Conventional base calls	pass	pass	38788553.0	pass	warn	pass	48.0	52.3130612577	CT2-30OCT-2_S2_L001_R1_001.fastq.gz	warn	pass
CT2-30OCT-2_S2_L001_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	fail	38788553.0	pass	fail	pass	45.0	38.377341473	CT2-30OCT-2_S2_L001_R2_001.fastq.gz	warn	pass
CT2-30OCT-3_S3_L001_R1_001	pass	0.0	warn	26.0	Sanger / Illumina 1.9	pass	pass	26.0	Conventional base calls	pass	pass	36418414.0	pass	warn	pass	48.0	53.4239543288	CT2-30OCT-3_S3_L001_R1_001.fastq.gz	warn	pass
CT2-30OCT-3_S3_L001_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	fail	36418414.0	pass	fail	pass	45.0	38.2971038443	CT2-30OCT-3_S3_L001_R2_001.fastq.gz	warn	pass
CT2-30OCT-4_S4_L001_R1_001	pass	0.0	warn	26.0	Sanger / Illumina 1.9	pass	pass	26.0	Conventional base calls	pass	pass	36753320.0	pass	warn	pass	48.0	53.5646190852	CT2-30OCT-4_S4_L001_R1_001.fastq.gz	warn	pass
CT2-30OCT-4_S4_L001_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	pass	pass	100.0	Conventional base calls	pass	fail	36753320.0	pass	fail	pass	45.0	42.1809859802	CT2-30OCT-4_S4_L001_R2_001.fastq.gz	warn	pass
